snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Hereditary liability to pressure palsies (disorder),230558006,230558006,Hereditary liability to pressure palsies (disorder),(<!65017003|Hereditary peripheral neuropathy (disorder)| AND <!386033004|Neuropathy (disorder)|)&limit=7000,3,3
Hereditary liability to pressure palsies (disorder),230558006,128205005,Hereditary sensory and autonomic neuropathy (disorder),(<!65017003|Hereditary peripheral neuropathy (disorder)| AND <!386033004|Neuropathy (disorder)|)&limit=7000,3,3
Sciatica (disorder),23056005,86345004,Bertolotti's syndrome (disorder),(<!52585001|Sciatic neuropathy (disorder)| AND <!78514002|Thigh pain (finding)| AND <!373673007|Disorder characterized by pain (disorder)| AND <!25416002|Peripheral neuralgia (finding)|)&limit=7000,2,2
Sciatica (disorder),23056005,23056005,Sciatica (disorder),(<!52585001|Sciatic neuropathy (disorder)| AND <!78514002|Thigh pain (finding)| AND <!373673007|Disorder characterized by pain (disorder)| AND <!25416002|Peripheral neuralgia (finding)|)&limit=7000,2,2
Neuropathy co-occurrent and due to diabetes mellitus (disorder),230572002,230572002,Neuropathy due to diabetes mellitus (disorder),(<!422088007|Disorder of nervous system due to diabetes mellitus (disorder)| AND <!230571009|Neuropathy associated with endocrine disorder (disorder)|)&limit=7000,1,1
Cerebrovascular accident (disorder),230690007,230690007,Cerebrovascular accident (disorder),(<!62914000|Cerebrovascular disease (disorder)| AND <!127294003|Traumatic AND/OR non-traumatic brain injury (disorder)|)&limit=7000,1,1
Complete obstruction of lacrimal canaliculus (disorder),231839000,231839000,Complete obstruction of lacrimal canaliculus (disorder),(<!301913002|Lesion of eyelid (finding)| AND <!416920000|Obstruction of lacrimal canaliculus (disorder)|)&limit=7000,1,1
Menstrual migraine (disorder),23186000,23186000,Menstrual migraine (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)| AND <!106002000|Disorder associated with menstruation AND/OR menopause (disorder)|)&limit=7000,1,1
Macular hole (disorder),232006002,247149008,Macular choroidal sclerosis (disorder),(<!11131000119108|Anomaly of eye (disorder)| AND <!301905003|Lesion of eye structure (finding)| AND <!312999006|Disorder of macula of retina (disorder)|)&limit=7000,2,2
Macular hole (disorder),232006002,232006002,Macular hole (disorder),(<!11131000119108|Anomaly of eye (disorder)| AND <!301905003|Lesion of eye structure (finding)| AND <!312999006|Disorder of macula of retina (disorder)|)&limit=7000,2,2
Coronary artery bypass grafting (procedure),232717009,419132001,Minimally invasive direct coronary artery bypass (procedure),(<!116360008|Arterial bypass graft (procedure)| AND <!713689002|Repair of coronary artery (procedure)|)&limit=7000,4,4
Coronary artery bypass grafting (procedure),232717009,418824004,Off-pump coronary artery bypass (procedure),(<!116360008|Arterial bypass graft (procedure)| AND <!713689002|Repair of coronary artery (procedure)|)&limit=7000,4,4
Coronary artery bypass grafting (procedure),232717009,232717009,Coronary artery bypass grafting (procedure),(<!116360008|Arterial bypass graft (procedure)| AND <!713689002|Repair of coronary artery (procedure)|)&limit=7000,4,4
Coronary artery bypass grafting (procedure),232717009,90205004,Cardiac revascularization with bypass anastomosis (procedure),(<!116360008|Arterial bypass graft (procedure)| AND <!713689002|Repair of coronary artery (procedure)|)&limit=7000,4,4
Hysteroscopy (procedure),233545006,233545006,Hysteroscopy (procedure),(<!120200004|Pelvis endoscopy (procedure)| AND <!118864003|Procedure on uterus (procedure)| AND <!108191006|Abdomen endoscopy (procedure)| AND <!83607001|Gynecologic examination (procedure)|)&limit=7000,1,1
Pneumonia (disorder),233604007,233604007,Pneumonia (disorder),(<!95436008|Lung consolidation (disorder)| AND <!205237003|Pneumonitis (disorder)|)&limit=7000,1,1
Interstitial lung disease (disorder),233703007,233703007,Interstitial lung disease (disorder),(<!19829001|Disorder of lung (disorder)| AND <!363044007|Connective tissue disorder by body site (disorder)|)&limit=7000,1,1
Hypertrophic cardiomyopathy (disorder),233873004,871646007,Infiltrative cardiomyopathy (disorder),(<!85898001|Cardiomyopathy (disorder)| AND <!128599005|Structural disorder of heart (disorder)|)&limit=7000,4,4
Hypertrophic cardiomyopathy (disorder),233873004,399020009,Congestive cardiomyopathy (disorder),(<!85898001|Cardiomyopathy (disorder)| AND <!128599005|Structural disorder of heart (disorder)|)&limit=7000,4,4
Hypertrophic cardiomyopathy (disorder),233873004,233873004,Hypertrophic cardiomyopathy (disorder),(<!85898001|Cardiomyopathy (disorder)| AND <!128599005|Structural disorder of heart (disorder)|)&limit=7000,4,4
Hypertrophic cardiomyopathy (disorder),233873004,64077000,Myocardial degeneration (disorder),(<!85898001|Cardiomyopathy (disorder)| AND <!128599005|Structural disorder of heart (disorder)|)&limit=7000,4,4
Popliteal entrapment syndrome (disorder),233978009,449897004,Adductor canal syndrome (disorder),(<!449896008|Entrapment of blood vessel (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)| AND <!373408007|Vascular disorder of lower extremity (disorder)| AND <!233977004|Extrinsic compression of artery (disorder)|)&limit=7000,2,2
Popliteal entrapment syndrome (disorder),233978009,233978009,Popliteal entrapment syndrome (disorder),(<!449896008|Entrapment of blood vessel (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)| AND <!373408007|Vascular disorder of lower extremity (disorder)| AND <!233977004|Extrinsic compression of artery (disorder)|)&limit=7000,2,2
Abdominal aortic aneurysm (disorder),233985008,233985008,Abdominal aortic aneurysm (disorder),(<!142121000119101|Abdominal aortic ectasia (disorder)| AND <!426948001|Aneurysm of descending aorta (disorder)|)&limit=7000,1,1
Fracture of upper limb (disorder),23406007,23406007,Fracture of upper limb (disorder),(<!125605004|Fracture of bone (disorder)| AND <!298756009|Finding of bone of upper limb (finding)| AND <!127278005|Injury of upper extremity (disorder)|)&limit=7000,1,1
Lipedema (disorder),234102003,234102003,Lipedema (disorder),(<!118654009|Disorder characterized by edema (disorder)| AND <!126487009|Subcutaneous fat disorder (disorder)|)&limit=7000,1,1
Cerebral arteriovenous malformation (disorder),234142008,234142008,Cerebral arteriovenous malformation (disorder),(<!703221003|Congenital intracranial vascular malformation (disorder)| AND <!234141001|Congenital arteriovenous malformation (disorder)|)&limit=7000,1,1
Hemopoietic stem cell transplant (procedure),234336002,234336002,Hemopoietic stem cell transplant (procedure),(<!118728006|Procedure on bone marrow (procedure)| AND <!363186003|Introduction of substance by body site (procedure)| AND <!77465005|Transplantation (procedure)|)&limit=7000,1,1
Chronic pancreatitis (disorder),235494005,235494005,Chronic pancreatitis (disorder),(<!75694006|Pancreatitis (disorder)| AND <!128284006|Chronic digestive system disorder (disorder)| AND <!128294001|Chronic inflammatory disorder (disorder)|)&limit=7000,1,1
Gallbladder calculus (disorder),235919008,235919008,Gallbladder calculus (disorder),(<!39621005|Disorder of gallbladder (disorder)| AND <!266474003|Calculus in biliary tract (disorder)| AND <!300346007|Lesion of gallbladder (finding)|)&limit=7000,1,1
Hysterectomy (procedure),236886002,236886002,Hysterectomy (procedure),(<!108189003|Abdomen excision (procedure)| AND <!123014005|Excision of pelvis (procedure)| AND <!79876008|Operation on uterus (procedure)|)&limit=7000,1,1
Polycystic ovary syndrome (disorder),237055002,237055002,Polycystic ovary syndrome (disorder),(<!781067001|Polycystic ovary (disorder)| AND <!37102008|Disorder of endocrine ovary (disorder)| AND <!237793004|Hyperandrogenization syndrome (disorder)|)&limit=7000,1,1
Chronic pain in female pelvis (finding),237067000,237067000,Chronic pain in female pelvis (finding),(<!82423001|Chronic pain (finding)| AND <!426702003|Pain in female pelvis (finding)| AND <!609626005|Finding of pelvis (finding)|)&limit=7000,1,1
Cervical dystocia (finding),237324001,237324001,Cervical dystocia (disorder),(<!63339007|Disorder of uterine cervix (disorder)| AND <!199746004|Obstructed labor (disorder)|)&limit=7000,1,1
Thyroid nodule (disorder),237495005,237495005,Thyroid nodule (disorder),(<!237557003|Mass of thyroid gland (finding)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,4,4
Thyroid nodule (disorder),237495005,127018007,Neoplasm of thyroid gland (disorder),(<!237557003|Mass of thyroid gland (finding)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,4,4
Thyroid nodule (disorder),237495005,102452004,Abscess of thyroid (disorder),(<!237557003|Mass of thyroid gland (finding)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,4,4
Thyroid nodule (disorder),237495005,72325004,Cyst of thyroid (disorder),(<!237557003|Mass of thyroid gland (finding)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,4,4
Sheehan's syndrome (disorder),237684005,237684005,Sheehan's syndrome (disorder),(<!59572000|Necrosis of pituitary (disorder)| AND <!74728003|Hypopituitarism (disorder)| AND <!51742006|Disorder of anterior pituitary (disorder)|)&limit=7000,1,1
Adrenal Cushing's syndrome (disorder),237735008,237736009,Cyclical Cushing's syndrome (disorder),(<!47270006|Hypercortisolism (disorder)| AND <!129636003|Disorder of adrenal cortex (disorder)|)&limit=7000,2,2
Adrenal Cushing's syndrome (disorder),237735008,237735008,Adrenal Cushing's syndrome (disorder),(<!47270006|Hypercortisolism (disorder)| AND <!129636003|Disorder of adrenal cortex (disorder)|)&limit=7000,2,2
Congenital adrenal hyperplasia (disorder),237751000,237751000,Congenital adrenal hyperplasia (disorder),(<!267395000|Adrenogenital disorder (disorder)| AND <!237777008|Adrenocortical hyperplasia (disorder)| AND <!60637003|Congenital anomaly of adrenal gland (disorder)| AND <!363104002|Hereditary disorder of endocrine system (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)|)&limit=7000,1,1
Repair of femoral hernia (procedure),238171002,238171002,Repair of femoral hernia (procedure),(<!84744001|Repair of hernia of abdominal wall (procedure)| AND <!119674005|Thigh repair (procedure)| AND <!120205009|Inguinal region repair (procedure)|)&limit=7000,1,1
Hair sinus (disorder),238496008,238496008,Hair sinus (disorder),(<!239953001|Soft tissue lesion (disorder)| AND <!432863009|Pilonidal disease (disorder)|)&limit=7000,2,2
Hair sinus (disorder),238496008,47639008,Pilonidal cyst (disorder),(<!239953001|Soft tissue lesion (disorder)| AND <!432863009|Pilonidal disease (disorder)|)&limit=7000,2,2
Polymorphic light eruption (disorder),238525001,238525001,Polymorphic light eruption (disorder),(<!271807003|Eruption of skin (disorder)| AND <!373591006|Disorders of skin caused by physical agents (disorder)| AND <!90128006|Photosensitivity (finding)| AND <!817956002|Exogenous dermatitis (disorder)|)&limit=7000,1,1
Vulvodynia (disorder),238968009,238968009,Vulvodynia (disorder),(<!162145001|Vulval pain (finding)| AND <!373673007|Disorder characterized by pain (disorder)| AND <!5089007|Disorder of vulva (disorder)|)&limit=7000,1,1
Reconstruction of anterior cruciate ligament of knee joint (procedure),239431009,239431009,Reconstruction of anterior cruciate ligament of knee joint (procedure),(<!239426007|Repair of anterior cruciate ligament of knee joint (procedure)| AND <!449660006|Reconstruction of lower limb (procedure)| AND <!450676000|Reconstruction of intraarticular ligament (procedure)|)&limit=7000,1,1
Bone necrosis (disorder),240196003,240196003,Bone necrosis (disorder),(<!609410002|Necrosis of anatomical site (disorder)| AND <!284003005|Bone injury (disorder)|)&limit=7000,1,1
Viral hemorrhagic fever (disorder),240523007,240523007,Viral hemorrhagic fever (disorder),(<!131148009|Bleeding (finding)| AND <!128482007|Acute inflammatory disease (disorder)| AND <!409631000|Acute viral disease (disorder)|)&limit=7000,1,1
Endoscopy of urinary bladder (procedure),24139008,24139008,Endoscopy of urinary bladder (procedure),(<!108191006|Abdomen endoscopy (procedure)| AND <!118855008|Procedure on bladder (procedure)| AND <!274380008|Urinary endoscopy (procedure)| AND <!120200004|Pelvis endoscopy (procedure)|)&limit=7000,1,1
"Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2424003,789434005,Myofibroblastic sarcoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372151005|Sarcoma - category (morphologic abnormality)|)&limit=7000",50,50
"Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2424003,719952009,Primary sarcoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372151005|Sarcoma - category (morphologic abnormality)|)&limit=7000",50,50
"Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2424003,703692009,Secondary osteosarcoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372151005|Sarcoma - category (morphologic abnormality)|)&limit=7000",50,50
"Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2424003,446578007,Endometrial stromal sarcoma - category (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372151005|Sarcoma - category (morphologic abnormality)|)&limit=7000",50,50
